timestamp,scenario_id,episode_id,step_id,robot_x,robot_y,robot_z,robot_yaw,robot_linear_velocity,robot_angular_velocity,goal_x,goal_y,goal_z,distance_to_goal,number_of_dynamic_objects,obstacle_positions,obstacle_velocities,human_positions,human_velocities,forklift_positions,forklift_velocities,collision,goal_reached,navigation_status,warehouse_length,warehouse_width,aisle_width,scenario_type
2.3523,10,4,22,5.0647,0.0500,-0.3933,263.7947,0.9726,-0.9018,-24.0000,0.0000,-15.0000,32.5287,7,"","","10.500:0.000:13.500|-4.200:0.000:-11.627|-22.127:0.000:-15.000|22.412:0.000:-14.007|8.400:0.000:8.127","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-21.056:0.000:14.229","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
2.4569,10,4,23,4.9090,0.0500,-0.4117,263.6732,1.9288,-1.3886,-24.0000,0.0000,-15.0000,32.3813,7,"","","10.500:0.000:13.500|-4.200:0.000:-11.544|-22.044:0.000:-15.000|22.341:0.000:-13.963|8.400:0.000:8.044","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-20.925:0.000:14.195","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
2.5648,10,4,24,4.7482,0.0500,-0.4306,263.5775,1.0459,-0.5890,-24.0000,0.0000,-15.0000,32.2293,7,"","","10.500:0.000:13.500|-4.200:0.000:-11.457|-21.957:0.000:-15.000|22.268:0.000:-13.917|8.400:0.000:7.957","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-20.789:0.000:14.159","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
2.6777,10,4,25,4.5801,0.0500,-0.4505,263.5019,2.2176,-0.9247,-24.0000,0.0000,-15.0000,32.0705,7,"","","10.500:0.000:13.500|-4.200:0.000:-11.367|-21.867:0.000:-15.000|22.191:0.000:-13.869|8.400:0.000:7.867","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-20.647:0.000:14.122","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
2.7905,10,4,26,4.4120,0.0500,-0.4703,263.4451,0.9669,-0.2945,-24.0000,0.0000,-15.0000,31.9117,7,"","","10.500:0.000:13.500|-4.200:0.000:-11.277|-21.777:0.000:-15.000|22.115:0.000:-13.822|8.400:0.000:7.777","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-20.505:0.000:14.085","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
2.8945,10,4,27,4.2570,0.0500,-0.4886,263.4055,1.9253,-0.4562,-24.0000,0.0000,-15.0000,31.7654,7,"","","10.500:0.000:13.500|-4.200:0.000:-11.193|-21.693:0.000:-15.000|22.044:0.000:-13.778|8.400:0.000:7.693","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-20.374:0.000:14.050","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
3.0047,10,4,28,4.0929,0.0500,-0.5079,263.3735,1.9650,-0.3632,-24.0000,0.0000,-15.0000,31.6106,7,"","","10.500:0.000:13.500|-4.200:0.000:-11.105|-21.605:0.000:-15.000|21.969:0.000:-13.731|8.400:0.000:7.605","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-20.236:0.000:14.014","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
3.1149,10,4,29,3.9287,0.0500,-0.5273,263.3493,0.8915,-0.1205,-24.0000,0.0000,-15.0000,31.4559,7,"","","10.500:0.000:13.500|-4.200:0.000:-11.017|-21.517:0.000:-15.000|21.895:0.000:-13.684|8.400:0.000:7.517","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-20.097:0.000:13.978","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
3.2237,10,4,30,3.7667,0.0500,-0.5464,263.3311,1.5232,-0.1556,-24.0000,0.0000,-15.0000,31.3033,7,"","","10.500:0.000:13.500|-4.200:0.000:-10.930|-21.430:0.000:-15.000|21.821:0.000:-13.638|8.400:0.000:7.430","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-19.960:0.000:13.942","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
3.3287,10,4,31,3.6103,0.0500,-0.5648,263.3179,1.5129,-0.1160,-24.0000,0.0000,-15.0000,31.1561,7,"","","10.500:0.000:13.500|-4.200:0.000:-10.846|-21.346:0.000:-15.000|21.750:0.000:-13.593|8.400:0.000:7.346","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-19.828:0.000:13.907","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
3.4360,10,4,32,3.4504,0.0500,-0.5837,263.3076,1.4744,-0.0870,-24.0000,0.0000,-15.0000,31.0058,7,"","","10.500:0.000:13.500|-4.200:0.000:-10.760|-21.260:0.000:-15.000|21.677:0.000:-13.548|8.400:0.000:7.260","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-19.693:0.000:13.872","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
3.5361,10,4,33,3.3013,0.0500,-0.6013,263.3002,1.6839,-0.0778,-24.0000,0.0000,-15.0000,30.8656,7,"","","10.500:0.000:13.500|-4.200:0.000:-10.680|-21.180:0.000:-15.000|21.609:0.000:-13.506|8.400:0.000:7.180","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-19.567:0.000:13.839","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
3.6364,10,4,34,3.1519,0.0500,-0.6189,263.2944,1.6084,-0.0580,-24.0000,0.0000,-15.0000,30.7253,7,"","","10.500:0.000:13.500|-4.200:0.000:-10.600|-21.100:0.000:-15.000|21.541:0.000:-13.463|8.400:0.000:7.100","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-19.441:0.000:13.806","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
3.7427,10,4,35,2.9935,0.0500,-0.6376,263.2897,1.5377,-0.0427,-24.0000,0.0000,-15.0000,30.5766,7,"","","10.500:0.000:13.500|-4.200:0.000:-10.515|-21.015:0.000:-15.000|21.469:0.000:-13.418|8.400:0.000:7.015","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-19.307:0.000:13.771","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
3.8468,10,4,36,2.8385,0.0500,-0.6558,263.2862,0.7319,-0.0137,-24.0000,0.0000,-15.0000,30.4313,7,"","","10.500:0.000:13.500|-4.200:0.000:-10.432|-20.932:0.000:-15.000|21.398:0.000:-13.374|8.400:0.000:6.932","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-19.177:0.000:13.737","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
3.9497,10,4,37,2.6855,0.0500,-0.6730,263.3722,1.4537,1.0895,-24.0000,0.0000,-15.0000,30.2883,7,"","","10.500:0.000:13.500|-4.200:0.000:-10.349|-20.849:0.000:-15.000|21.328:0.000:-13.330|8.400:0.000:6.849","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-19.047:0.000:13.703","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
4.0581,10,4,38,2.5239,0.0500,-0.6910,263.4324,0.8388,-0.3143,-24.0000,0.0000,-15.0000,30.1375,7,"","","10.500:0.000:13.500|-4.200:0.000:-10.263|-20.763:0.000:-15.000|21.255:0.000:-13.284|8.400:0.000:6.763","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-18.911:0.000:13.667","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
4.1584,10,4,39,2.3747,0.0500,-0.7075,263.4910,1.6694,0.5798,-24.0000,0.0000,-15.0000,29.9984,7,"","","10.500:0.000:13.500|-4.200:0.000:-10.182|-20.682:0.000:-15.000|21.187:0.000:-13.242|8.400:0.000:6.682","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-18.785:0.000:13.634","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
4.2614,10,4,40,2.2213,0.0500,-0.7246,263.5189,1.5518,0.2182,-24.0000,0.0000,-15.0000,29.8554,7,"","","10.500:0.000:13.500|-4.200:0.000:-10.100|-20.600:0.000:-15.000|21.117:0.000:-13.198|8.400:0.000:6.600","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-18.655:0.000:13.600","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
4.3694,10,4,41,2.0605,0.0500,-0.7430,263.5045,1.4559,-0.7599,-24.0000,0.0000,-15.0000,29.7054,7,"","","10.500:0.000:13.500|-4.200:0.000:-10.014|-20.514:0.000:-15.000|21.044:0.000:-13.152|8.400:0.000:6.514","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-18.519:0.000:13.565","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
4.4703,10,4,42,1.9104,0.0500,-0.7606,263.4601,1.4272,-0.8881,-24.0000,0.0000,-15.0000,29.5654,7,"","","10.500:0.000:13.500|-4.200:0.000:-9.933|-20.433:0.000:-15.000|20.975:0.000:-13.109|8.400:0.000:6.433","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-18.393:0.000:13.531","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
4.5777,10,4,43,1.7505,0.0500,-0.7795,263.4066,1.4655,-0.4135,-24.0000,0.0000,-15.0000,29.4162,7,"","","10.500:0.000:13.500|-4.200:0.000:-9.847|-20.347:0.000:-15.000|20.902:0.000:-13.064|8.400:0.000:6.347","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-18.257:0.000:13.496","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
4.6821,10,4,44,1.5952,0.0500,-0.7987,263.2923,1.4629,-1.3458,-24.0000,0.0000,-15.0000,29.2710,7,"","","10.500:0.000:13.500|-4.200:0.000:-9.763|-20.263:0.000:-15.000|20.831:0.000:-13.020|8.400:0.000:6.263","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-18.126:0.000:13.462","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
4.7892,10,4,45,1.4360,0.0500,-0.8194,263.1063,1.4392,-2.1881,-24.0000,0.0000,-15.0000,29.1219,7,"","","10.500:0.000:13.500|-4.200:0.000:-9.678|-20.178:0.000:-15.000|20.759:0.000:-12.974|8.400:0.000:6.178","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-17.991:0.000:13.426","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
4.8945,10,4,46,1.2816,0.0500,-0.8447,262.2347,1.4778,-19.3451,-24.0000,0.0000,-15.0000,28.9747,7,"","","10.500:0.000:13.500|-4.200:0.000:-9.593|-20.093:0.000:-15.000|20.687:0.000:-12.930|8.400:0.000:6.093","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-17.859:0.000:13.392","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
4.9995,10,4,47,1.1609,0.0500,-0.9291,255.2696,1.3213,-76.6434,-24.0000,0.0000,-15.0000,28.8282,7,"","","10.500:0.000:13.500|-4.200:0.000:-9.510|-20.010:0.000:-15.000|20.616:0.000:-12.885|8.400:0.000:6.010","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-17.727:0.000:13.357","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
5.1121,10,4,48,1.0655,0.0500,-1.0680,245.3848,1.4843,-83.4412,-24.0000,0.0000,-15.0000,28.6772,7,"","","10.500:0.000:13.500|-4.200:0.000:-9.419|-19.919:0.000:-15.000|20.540:0.000:-12.837|8.400:0.000:5.919","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-17.585:0.000:13.320","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
