timestamp,scenario_id,episode_id,step_id,robot_x,robot_y,robot_z,robot_yaw,robot_linear_velocity,robot_angular_velocity,goal_x,goal_y,goal_z,distance_to_goal,number_of_dynamic_objects,obstacle_positions,obstacle_velocities,human_positions,human_velocities,forklift_positions,forklift_velocities,collision,goal_reached,navigation_status,warehouse_length,warehouse_width,aisle_width,scenario_type
6.9190,18,8,68,-19.0945,0.0500,-5.1130,29.8448,1.5932,-0.0015,-8.4000,0.0000,13.5000,21.4667,2,"","","2.000:0.000:0.300","0.000:0.000:1.200","-4.000:0.000:3.885","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
7.0212,18,8,69,-19.0181,0.0500,-4.9799,29.8447,1.6291,0.0000,-8.4000,0.0000,13.5000,21.3132,2,"","","2.000:0.000:0.422","0.000:0.000:1.200","-4.000:0.000:3.680","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
7.1224,18,8,70,-18.9426,0.0500,-4.8484,29.8447,1.4428,0.0000,-8.4000,0.0000,13.5000,21.1616,2,"","","2.000:0.000:0.544","0.000:0.000:1.200","-4.000:0.000:3.478","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
7.2229,18,8,71,-18.8676,0.0500,-4.7176,29.8447,1.7266,0.0000,-8.4000,0.0000,13.5000,21.0108,2,"","","2.000:0.000:0.664","0.000:0.000:1.200","-4.000:0.000:3.277","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
7.3230,18,8,72,-18.7928,0.0500,-4.5873,29.8447,1.5039,0.0000,-8.4000,0.0000,13.5000,20.8605,2,"","","2.000:0.000:0.785","0.000:0.000:1.200","-4.000:0.000:3.077","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
7.4252,18,8,73,-18.7166,0.0500,-4.4544,29.8447,1.7540,0.0000,-8.4000,0.0000,13.5000,20.7074,2,"","","2.000:0.000:0.907","0.000:0.000:1.200","-4.000:0.000:2.872","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
7.5257,18,8,74,-18.6416,0.0500,-4.3236,29.8447,1.7262,0.0000,-8.4000,0.0000,13.5000,20.5566,2,"","","2.000:0.000:1.028","0.000:0.000:1.200","-4.000:0.000:2.671","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
7.6262,18,8,75,-18.5665,0.0500,-4.1928,29.8447,1.5223,0.0000,-8.4000,0.0000,13.5000,20.4057,2,"","","2.000:0.000:1.148","0.000:0.000:1.200","-4.000:0.000:2.470","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
7.7275,18,8,76,-18.4909,0.0500,-4.0611,29.8447,1.5723,0.0000,-8.4000,0.0000,13.5000,20.2539,2,"","","2.000:0.000:1.270","0.000:0.000:1.200","-4.000:0.000:2.268","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
7.8305,18,8,77,-18.4140,0.0500,-3.9270,29.8447,1.4088,0.0000,-8.4000,0.0000,13.5000,20.0993,2,"","","2.000:0.000:1.394","0.000:0.000:1.200","-4.000:0.000:2.062","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
